Language,Address,Address1,Address2,Address3,Address4,Publication,Pubtype,Recording,Notes
American English,Western United States,,,,,http://dx.doi.org/10.1017/S0025100300003868,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/American-English.zip,"Unable to find stand-alone online publication. Kenneth Olson cites part of the report on the 1989 Kiel convention as the online publication of this Illustration (JIPA 19(20) 77-80), but the handbook entry is more detailed."
American English: Southern Michigan,"Southern Michigan, United States",,,,,http://dx.doi.org/10.1017/S0025100303001221,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Southern-Michigan.zip,
Amarisi,"Timor, Kupang City, East Nusa Tenggara, Indonesia",,,,,http://dx.doi.org/10.1017/S0025100315000377,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Amarasi.zip,
Amharic,"Addis Ababa, Ethiopia",,,,,http://dx.doi.org/10.1017/S0025100300004606,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Amharic.zip,
Arabic,"Safad, North Palestine",,,,,http://dx.doi.org/10.1017/S0025100300004266,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Arabic.zip,
Assamese,"Assam, India",,,,,http://dx.doi.org/10.1017/S0025100312000096,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Assamese.zip,
Australian English,"Sydney, Australia",,,,,http://dx.doi.org/10.1017/S0025100307003192,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Australian-English.zip,
Bardi,"Western Kimberley, Australia (One Arm Point?)",,,,,http://dx.doi.org/10.1017/S0025100312000217,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Bardi.zip,
Basaá,Cameroon,,,,,http://dx.doi.org/10.1017/S0025100314000383,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Basaa.zip,
Béarnais (Gascon),"Pyrénées-Atlantiques, South France",,,,,http://dx.doi.org/10.1017/S002510031400005X,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Bearnais-Gascon.zip,
The Belgian Limburg dialect of Hamont,"Hamont, Limberg, Belgium",,,,,http://dx.doi.org/10.1017/S0025100307002940,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Hamont.zip,
Belgian Standard Dutch,"Flanders, Belgium",,,,,http://dx.doi.org/10.1017/S0025100305002173,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Belgian-Standard-Dutch.zip,
Bemba,"Muya, Zambia",,,,,http://dx.doi.org/10.1017/S0025100314000371,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Bemba.zip,
Bengali (Bangladeshi Standard),"Dhaka, Bangladesh",,,,,http://dx.doi.org/10.1017/S0025100310000071,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Bengali.zip,
Brazilian Portuguese,Brazil,,,,,http://dx.doi.org/10.1017/S0025100304001756,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Brazilian-Portuguese.zip,
British English: Received Pronunciation,South-East England,,,,,http://dx.doi.org/10.1017/S0025100304001768,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/British%20English%20-%20RP.zip,
Brunei Malay,Sultanate of Brunei Darussalam," Limbang, Sarawak, Malaysia","Labuan, Labuan Federal Territory Malaysia","Beaufort, Sabah, Malaysia"," Miri, Sarawak, Malaysia",http://dx.doi.org/10.1017/S0025100316000189,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Malay.zip,
Bukharan Tajik,Bukhara,,,,,http://dx.doi.org/10.1017/S002510031300011X,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Bukharan-Tajik.zip,
Burmese,Burma,,,,,http://dx.doi.org/10.1017/S0025100301002122,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Burmese.zip,
Bulgarian,Bulgaria,,,,,http://dx.doi.org/10.1017/S0025100300004072,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Bulgarian.zip,
Castilian Spanish,"Castille, Spain",,,,,http://dx.doi.org/10.1017/S0025100303001373,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Castilian-Spanish.zip,
Catalan,"Barcelona, Spain",,,,,http://dx.doi.org/10.1017/S0025100300004618,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Catalan.zip,
Central Arrernte,"Alice Springs, Northern Territory, Australia",,,,,http://dx.doi.org/10.1017/S0025100305002185,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Central-Arrernte.zip,
Central Sama,"Sulu Archipeligo, Philippines","Ipil, Zamboanga Peninsula, Philippines","Semporna, Malaysia","Kunak, Malaysia",,http://dx.doi.org/10.1017/S0025100312000229,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Central-Sama.zip,
Chickasaw,South-Central Oklahoma,,,,,http://dx.doi.org/10.1017/S0025100301002110,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Chickasaw.zip,
Chicahuaxtla Triqui,"Oaxaca, Mexico",,,,,http://dx.doi.org/10.1017/S0025100315000389,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Chicahuaxtla-Triqui.zip,
Cicipu,North-West Nigeria,,,,,http://dx.doi.org/10.1017/S002510031400022X,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Cicipu.zip,
Chinese (Hong Kong Cantonese),Hong Kong,,,,,http://dx.doi.org/10.1017/S0025100300006058,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Cantonese.zip,
Chistabino (Pyrenean Aragonese),"Gistaín, Spain",,,,,http://dx.doi.org/10.1017/S0025100306002842,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Chistabino-Aragonese.zip,
Cocos Malay,"Cocos Islands, Australia","Christmas Islands, Australia","Sabah, Malaysia",,,http://dx.doi.org/10.1017/S0025100313000364,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Cocos-Malay.zip,
Croatian,Croatia,,,,,http://dx.doi.org/10.1017/S002510030000520X,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Croatian.zip,
