Language,Address,Publication,Pubtype
Arrernte,"Alice Springs, Nothern Territory, Australia",https://doi.org/10.1016/j.wocn.2012.03.003,
Australian English,"Sydney, New South Wales, Australia",http://dx.doi.org/10.1177/00238309010440010301,
Croatian,"Zagreb, Croatia",https://www.internationalphoneticassociation.org/icphs-proceedings/ICPhS2023/full_papers/30.pdf,
French,"Paris, France",http://dx.doi.org/10.1016/j.wocn.2004.04.003,
Goemai,"Jos, Nigeria",http://dx.doi.org/10.1017/S0025100314000243 ,illustration
Lisu,"Shi Ba Cha, Yingjiang, Dehong, Yunnan, China",https://doi.org/10.1017/S0025100318000129 ,illustration
Kannada,"Mysore, Karnataka, India",https://doi.org/10.1159/000478104 ,
Makasar,"Makassar, Indonesia",https://doi.org/10.1017/S002510031500033X ,illustration
Malayalam,"Thiruvananthapuram, Kerala, India",https://doi.org/10.1159/000478104 ,
Mian,"Telafonin, Papua New Guinea",,
Pitjantjatjara,"Ayers Rock, Australia",https://doi.org/10.1017/S0025100314000073 ,illustration
Qaqet,"Raunsepna, Papua New Guinea",https://www.doi.org/10.1017/S0025100321000359 ,illustration
Russian,"Moscow, Russia",https://doi.org/10.1159/000087223 ,
Tima,"Nuba Mountains, Sudan",https://doi.org/10.1017/S0025100323000257 ,illustration
Tongan,"Nuku'alofa, Tonga",https://doi.org/10.1017/S0025100318000397 ,illustration
Yanyuwa,"Borroloola, Northern Territory, Australia",https://doi.org/10.1006/jpho.1999.0099 ,
Yindjibarndi,"Roeburne, Western Australia, Australia",https://doi.org/10.1006/jpho.1999.0099 ,
Warlpiri,"Yuendumu, Northern Territory, Australia",https://doi.org/10.1121/1.4937751 ,
